code insee,ville,inscrits,abstentions,exprimes,LDVG,LFN,LUD
08001,Acy-Romance,367,120,241,40,97,104
08003,Aiglemont,1279,447,803,171,313,319
08004,Aire,150,46,99,16,18,65
08005,Alincourt,87,25,60,6,12,42
08006,Alland'Huy-et-Sausseuil,184,70,108,22,37,49
08007,Les Alleux,63,31,31,5,13,13
08008,Amagne,512,189,307,55,148,104
08009,Amblimont,140,47,91,13,32,46
08010,Ambly-Fleury,105,30,69,8,28,33
08011,Anchamps,164,69,89,26,51,12
08013,Angecourt,294,108,171,42,79,50
08014,Annelles,98,23,74,9,22,43
08015,Antheny,98,44,50,3,27,20
08016,Aouste,167,72,89,17,46,26
08017,Apremont,98,23,73,6,29,38
08018,Ardeuil-et-Montfauxelles,64,25,38,2,15,21
08019,Les Grandes-Armoises,42,14,26,6,4,16
08020,Les Petites-Armoises,53,17,35,1,11,23
08021,Arnicourt,140,48,84,12,30,42
08022,Arreux,245,60,178,53,48,77
08023,Artaise-le-Vivier,59,13,44,3,23,18
08024,Asfeld,794,291,483,83,178,222
08025,Attigny,820,345,453,57,188,208
08026,Aubigny-les-Pothées,224,69,148,18,83,47
08027,Auboncourt-Vauzelles,93,31,61,5,18,38
08028,Aubrives,648,286,350,121,122,107
08029,Auflance,60,13,45,2,16,27
08030,Auge,61,22,39,4,14,21
08031,Aure,44,14,28,2,8,18
08032,Aussonce,134,42,90,10,36,44
08033,Authe,77,18,53,6,17,30
08034,Autrecourt-et-Pourron,228,64,159,28,50,81
08035,Autruche,55,29,22,4,6,12
08036,Autry,124,41,80,14,37,29
08037,Auvillers-les-Forges,541,224,299,52,152,95
08038,Avançon,206,76,123,18,41,64
08039,Avaux,396,168,218,40,104,74
08040,Les Ayvelles,630,271,338,73,148,117
08041,Baâlons,186,69,110,9,53,48
08042,Balaives-et-Butz,180,64,114,15,43,56
08043,Balan,1276,532,728,103,222,403
08044,Balham,68,23,44,7,16,21
08045,Ballay,190,62,125,11,53,61
08046,Banogne-Recouvrance,122,37,81,8,35,38
08047,Barbaise,97,35,60,14,32,14
08048,Barby,292,96,184,31,64,89
08049,Bar-lès-Buzancy,77,26,45,7,19,19
08052,Bayonville,101,47,54,6,17,31
08053,Bazeilles,1287,509,742,116,269,357
08055,Beaumont-en-Argonne,306,129,172,17,93,62
08056,Beffu-et-le-Morthomme,45,21,23,0,14,9
08057,Belleville-et-Châtillon-sur-Bar,186,73,103,8,40,55
08058,Belval,169,51,115,13,41,61
08059,Belval-Bois-des-Dames,35,10,24,2,5,17
08060,Bergnicourt,173,39,132,20,48,64
08061,La Berlière,39,11,28,0,10,18
08062,Bertoncourt,127,40,86,7,34,45
08063,La Besace,103,33,68,4,36,28
08064,Biermes,236,66,163,41,55,67
08065,Bièvres,53,12,37,2,18,17
08066,Bignicourt,57,15,40,1,12,27
08067,Blagny,895,430,440,89,165,186
08069,Blanchefosse-et-Bay,136,39,91,10,46,35
08070,Blanzy-la-Salonnaise,251,94,142,19,68,55
08071,Blombay,110,44,64,7,21,36
08072,Bosseval-et-Briancourt,344,137,197,37,86,74
08073,Bossus-lès-Rumigny,83,25,56,7,30,19
08074,Bouconville,55,13,41,2,17,22
08075,Boult-aux-Bois,129,43,84,24,23,37
08076,Boulzicourt,793,334,451,106,192,153
08077,Bourcq,43,11,28,4,10,14
08078,Bourg-Fidèle,613,271,322,59,187,76
08079,Boutancourt,227,100,121,28,58,35
08080,Bouvellemont,83,15,66,6,33,27
08081,Bogny-sur-Meuse,3585,1789,1711,402,889,420
08082,Brécy-Brières,68,16,50,5,13,32
08083,Brévilly,282,128,140,25,61,54
08084,Brienne-sur-Aisne,145,52,89,13,38,38
08085,Brieulles-sur-Bar,161,47,104,8,52,44
08086,Briquenay,87,30,53,4,24,25
08087,Brognon,94,33,59,5,35,19
08088,Bulson,97,23,68,8,16,44
08089,Buzancy,272,121,143,21,46,76
08090,Carignan,2120,1034,1036,188,382,466
08092,Cauroy,167,55,105,10,43,52
08094,Cernion,37,14,23,2,12,9
08095,Chagny,141,58,79,10,23,46
08096,Chalandry-Elaire,500,182,306,39,113,154
08097,Challerange,354,149,192,20,105,67
08098,Champigneulle,63,15,43,9,19,15
08099,Champigneul-sur-Vence,102,25,74,4,28,42
08100,Champlin,58,15,40,3,15,22
08101,La Chapelle,128,36,88,19,40,29
08102,Chappes,88,31,54,11,25,18
08103,Charbogne,163,50,110,12,51,47
08104,Chardeny,42,14,25,8,6,11
08105,Charleville-Mézières,29398,14411,14420,3046,4331,7043
08106,Charnois,72,29,43,15,11,17
08107,Château-Porcien,883,401,453,69,192,192
08109,Chatel-Chéhéry,143,59,83,8,30,45
08110,Le Châtelet-sur-Sormonne,138,48,87,6,50,31
08111,Le Châtelet-sur-Retourne,525,214,295,47,118,130
08113,Chaumont-Porcien,375,168,200,18,95,87
08114,Chéhéry,97,36,61,9,24,28
08115,Chémery-sur-Bar,351,128,213,17,77,119
08116,Le Chesne,630,258,354,54,123,177
08117,Chesnois-Auboncourt,131,48,81,16,31,34
08119,Cheveuges,294,93,191,28,71,92
08120,Chevières,54,20,27,1,14,12
08121,Chilly,123,52,68,11,29,28
08122,Chooz,627,289,328,85,115,128
08123,Chuffilly-Roche,58,15,41,13,7,21
08124,Clavy-Warby,271,79,186,41,69,76
08125,Cliron,249,78,169,30,78,61
08126,Condé-lès-Herpy,153,63,86,7,50,29
08128,Condé-lès-Autry,68,28,40,6,10,24
08130,Contreuve,64,22,41,6,13,22
08131,Cornay,72,20,44,6,10,28
08132,Corny-Machéroménil,122,55,65,6,33,26
08133,Coucy,329,117,210,32,115,63
08134,Coulommes-et-Marqueny,78,12,63,7,18,38
08135,La Croix-aux-Bois,116,23,85,17,46,22
08136,Daigny,237,88,143,25,51,67
08137,Damouzy,350,110,229,51,69,109
08138,Les Deux-Villes,161,46,108,12,58,38
08139,Deville,732,386,331,88,146,97
08140,Dom-le-Mesnil,861,414,413,90,159,164
08141,Dommery,148,39,102,10,43,49
08142,Donchery,1695,791,869,146,368,355
08143,Doumely-Bégny,72,32,39,3,18,18
08144,Doux,62,21,40,6,17,17
08145,Douzy,1435,483,916,100,288,528
08146,Draize,67,21,46,9,19,18
08147,Dricourt,51,28,22,4,11,7
08148,L'Ecaille,144,36,105,11,42,52
08149,L'Echelle,114,38,67,7,32,28
